コード,銘柄名,買付日,数量,取得単価,現在値,前日比,前日比（％）,損益,損益（％）,評価額
7974,任天堂,----/--/--,20,9749,12360,+215,+1.77,+52220,+26.78,247200
7148,ＦＰＧ,2025/04/09,26,1972,2258,-15,-0.66,+7436,+14.50,58708
8766,東京海上,----/--/--,63,4947,5649,-19,-0.34,+44226,+14.19,355887
4063,信越化,2025/04/01,45,4235,4528,+113,+2.56,+13185,+6.92,203760
7226,極東開,2025/04/24,22,2340,2397,+10,+0.42,+1254,+2.44,52734
1605,ＩＮＰＥＸ,2025/04/24,28,1817,1824,+3.5,+0.19,+196,+0.39,51072
8306,三菱ＵＦＪ,----/--/--,90,1740,1737.5,-44.5,-2.50,-225,-0.14,156375
6723,ルネサス,----/--/--,149,2180,1733,-10,-0.57,-66603,-20.50,258217
