コード,銘柄名,買付日,数量,取得単価,現在値,前日比,前日比（％）,損益,損益（％）,評価額
6146,ディスコ,2025/05/09,3,30500,37030,+3710,+11.13,+19590,+21.41,111090
7974,任天堂,----/--/--,20,9749,11700,-305,-2.54,+39020,+20.01,234000
8766,東京海上,----/--/--,43,4947,5911,+39,+0.66,+41452,+19.49,254173
4063,信越化,2025/04/01,45,4235,4630,-80,-1.70,+17775,+9.33,208350
7226,極東開,2025/04/24,22,2340,2548,+71,+2.87,+4576,+8.89,56056
6594,ニデック,2025/05/12,11,2645,2794,+28.5,+1.03,+1639,+5.63,30734
8058,三菱商事,2025/05/12,15,2778,2849.5,+6.5,+0.23,+1072.5,+2.57,42742.5
6723,ルネサス,----/--/--,49,2180,1895.5,+22.5,+1.20,-13940.5,-13.05,92879.5
